CP,Năm,Kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Cổ tức đã trả
VCB,2019,4,-67772000000,3062937000000,33300303000000,-309272000000,-647290000000,80873000000,-562218000000,0,0,32428813000000,239623378000000,0,272052191000000,32991031000000,4850000000,0,701000000,0
VCB,2019,3,-39765000000,7362940000000,30603237000000,-301010000000,-64512000000,15384000000,-47010000000,0,0,30255217000000,209368161000000,0,239623378000000,30302227000000,2494000000,0,0,0
VCB,2019,2,-26672000000,7474285000000,14624363000000,-238014000000,-252223000000,91523000000,-67528000000,-11000000,-11000000,14318810000000,195049351000000,0,209368161000000,14386349000000,1943000000,0,95773000000,0
VCB,2019,1,20090000000,7205949000000,-54483095000000,-575035000000,-24395000000,9857000000,-13163000000,6106488000000,6106488000000,-48964805000000,244014156000000,0,195049351000000,-55058130000000,1418000000,0,0,0
VCB,2018,4,-60891000000,5687547000000,66849004000000,-363544000000,-595597000000,-41661000000,1203791000000,0,-2914981000000,64774270000000,175811866000000,0,240586136000000,66485460000000,3001000000,0,1839545000000,-2914981000000
VCB,2018,3,-2899000000,5675012000000,1535917000000,-313662000000,-336125000000,24569000000,-219639000000,0,0,1002616000000,174809250000000,0,175811866000000,1222255000000,1936000000,0,90056000000,0
VCB,2018,2,5303000000,4859857000000,-88485328000000,-191484000000,-105050000000,16603000000,192916000000,0,0,-88483896000000,263293146000000,0,174809250000000,-88676812000000,942000000,280526000000,0,0
VCB,2018,1,15763000000,5327859000000,-42152701000000,-496483000000,-97602000000,87132000000,408083000000,0,0,-42241101000000,305534247000000,0,263293146000000,-42649184000000,670000000,417912000000,0,0
VCB,2017,4,-22565000000,4371206000000,68603472000000,-245158000000,-817207000000,61241000000,-488588000000,0,-2878215000000,64991511000000,193270920000000,0,258262431000000,68358314000000,2599000000,265688000000,0,-2878215000000
VCB,2017,3,-56500000000,3907799000000,26101114000000,-464672000000,-95118000000,23499000000,-70245000000,0,0,25566197000000,167704723000000,0,193270920000000,25636442000000,2778000000,0,0,0
VCB,2017,2,2638000000,5683756000000,41014917000000,51122000000,-152467000000,88640000000,-146311000000,0,0,40919728000000,149109038000000,-22324043000000,167704723000000,41066039000000,1811000000,0,-84212000000,0
VCB,2017,1,-14285000000,4343584000000,-30305665000000,-483677000000,-75184000000,0,9382000000,0,0,-30779960000000,179888998000000,0,149109038000000,-30789342000000,354000000,0,84212000000,0
VCB,2016,4,-82792000000,5260506000000,25122814000000,-207250000000,-777674000000,0,-767529000000,0,0,24148035000000,152818631000000,0,176966666000000,24915564000000,2874000000,-12540000000,20906000000,0
VCB,2016,3,-21040000000,1808086000000,24686275000000,-302178000000,-335467000000,-5674000000,-309677000000,0,-2665020000000,21409400000000,131409231000000,0,152818631000000,24384097000000,3003000000,12540000000,16183000000,-2665020000000
VCB,2016,2,-70798000000,4611994000000,6395796000000,-302580000000,-109735000000,-6866000000,-117823000000,0,0,5975393000000,125433838000000,0,131409231000000,6093216000000,785000000,0,-853000000,0
VCB,2016,1,-13020000000,3174781000000,-38562918000000,-387766000000,-49370000000,19663000000,-28331000000,0,0,-38979015000000,164412853000000,0,125433838000000,-38950684000000,544000000,0,853000000,0
VCB,2015,4,75928000000,3537618000000,9060004000000,9136000000,-898653000000,6603000000,-907918000000,0,0,8161222000000,152364312000000,0,160525534000000,9069140000000,2789000000,0,-17501000000,0
VCB,2015,3,-39268000000,2654593000000,22957956000000,-130201000000,-103929000000,61623000000,-132823000000,0,-2665020000000,20029912000000,132334400000000,0,152364312000000,22827755000000,1101000000,-108464000000,17501000000,-2665020000000
VCB,2015,2,26946000000,3081378000000,-921877000000,-237819000000,-141476000000,14210000000,-126464000000,0,0,-1286160000000,133620560000000,0,132334400000000,-1159696000000,988000000,0,12100000000,0
VCB,2015,1,4238000000,2214047000000,-41223847000000,-138842000000,-49979000000,7819000000,-29747000000,0,0,-41392436000000,175012996000000,0,133620560000000,-41362689000000,375000000,0,0,0
VCB,2014,4,7659000000,2230740000000,7643566000000,-91477000000,-748965000000,76026000000,-1160745000000,0,-47000000,6391297000000,163499042000000,0,169890339000000,7552089000000,3625000000,-499602000000,9565000000,0
VCB,2014,3,-3162000000,2963501000000,14311132000000,-84887000000,-138769000000,12294000000,-127002000000,0,-2780901000000,11318342000000,152180700000000,0,163499042000000,14226245000000,-464000000,0,0,-2780901000000
VCB,2014,2,348660000000,3139649000000,42790240000000,-318484000000,-91870000000,61995000000,-28695000000,0,0,42443061000000,109737639000000,0,152180700000000,42471756000000,1218000000,0,0,0
VCB,2014,1,13058000000,1678174000000,-27369127000000,-27397000000,-7568000000,1465000000,-5799000000,0,0,-27402323000000,137139962000000,0,109737639000000,-27396524000000,1320000000,0,0,0
VCB,2013,4,291192000000,3890160000000,16391711000000,-65447000000,-892196000000,41065000000,-563108000000,0,0,15763156000000,118049438000000,0,133812594000000,16326264000000,-981000000,-68905000000,357909000000,0
VCB,2013,3,-67967000000,2738964000000,-22659634000000,-122497000000,-140464000000,67255000000,-72832000000,0,0,-22854963000000,140904401000000,0,118049438000000,-22782131000000,418000000,-53950000000,5000000000,0
VCB,2013,2,45369000000,2825071000000,23602132000000,-149032000000,-85708000000,93025000000,7842000000,0,-1000000,23460941000000,117443460000000,0,140904401000000,23453100000000,774000000,0,0,-1000000
VCB,2013,1,-15194000000,2448398000000,-482789000000,-27864000000,-11176000000,82051000000,27166000000,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000,-510653000000,266000000,5000000000,0,-2780900000000
